epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.321,3.33826,4.89934,1.9201,0,0,0,0,2.5277,4.85137,1.51119,0.00015554,0.00015554,0.00015554
2,339.959,2.06668,3.54363,1.35914,0.0015,0.04052,0.00101,0.0006,1.6008,4.29969,1.20286,0.000315811,0.000315811,0.000315811
3,508.567,1.60908,2.22979,1.13603,0.02125,0.96552,0.5629,0.33139,1.32795,3.12826,1.07479,0.000469482,0.000469482,0.000469482
4,678.588,1.33972,1.58755,1.04827,1,0.183,0.47355,0.30411,1.16545,2.96492,1.04874,0.000616554,0.000616554,0.000616554
5,883.048,1.27185,1.33657,1.02431,0.99895,0.54697,0.98899,0.63635,1.17544,2.19851,0.97366,0.000757027,0.000757027,0.000757027
6,1111.74,1.2254,1.18787,1.0101,0.99804,0.71242,0.99253,0.7032,1.02804,1.97109,0.96182,0.0008909,0.0008909,0.0008909
7,1319.88,1.15487,1.10399,0.98052,0.94732,0.95179,0.98294,0.72854,0.91364,1.58635,0.92942,0.000979013,0.000979013,0.000979013
8,1538.73,1.01443,0.99953,0.95069,0.99014,0.98842,0.99495,0.76316,0.87739,1.1169,0.90133,0.000957015,0.000957015,0.000957015
9,1748.27,0.97918,0.95903,0.9334,0.98985,0.96154,0.99495,0.77564,0.85337,1.24639,0.89319,0.000935018,0.000935018,0.000935018
10,1957.97,0.94883,0.91388,0.93042,0.99092,0.99192,0.99486,0.79561,0.75683,0.94791,0.88282,0.00091302,0.00091302,0.00091302
11,2129.9,0.89107,0.85475,0.92904,0.99446,0.99761,0.99477,0.78323,0.77089,0.85468,0.87981,0.000891022,0.000891022,0.000891022
12,2302.58,0.90126,0.84032,0.8966,0.99736,0.99703,0.99496,0.80688,0.71961,0.8186,0.87311,0.000869024,0.000869024,0.000869024
13,2474.72,0.8524,0.7906,0.90091,0.99607,0.9971,0.99422,0.78717,0.76487,0.79709,0.87491,0.000847026,0.000847026,0.000847026
14,2646.86,0.8912,0.78505,0.92114,0.99569,0.99756,0.995,0.79856,0.74684,0.78448,0.89494,0.000825029,0.000825029,0.000825029
15,2819.61,0.8342,0.74619,0.89211,0.99406,0.99806,0.99484,0.81013,0.6888,0.72282,0.86816,0.000803031,0.000803031,0.000803031
16,2990.46,0.82289,0.74637,0.89992,0.99842,0.99957,0.995,0.81404,0.68254,0.63439,0.86035,0.000781033,0.000781033,0.000781033
17,3160.25,0.79801,0.72618,0.88661,0.99778,0.99872,0.99475,0.81861,0.66308,0.62632,0.86203,0.000759035,0.000759035,0.000759035
18,3331.77,0.77968,0.71808,0.89181,0.99772,0.99847,0.99457,0.826,0.64499,0.60559,0.85437,0.000737037,0.000737037,0.000737037
19,3503.18,0.74766,0.67511,0.87601,0.99747,0.99914,0.99481,0.80945,0.66619,0.59978,0.86017,0.00071504,0.00071504,0.00071504
20,3673.09,0.74821,0.65243,0.87756,0.99874,0.99968,0.995,0.8338,0.63773,0.59015,0.84943,0.000693042,0.000693042,0.000693042
21,3843.02,0.76543,0.66168,0.88187,0.99841,0.99961,0.995,0.81723,0.62906,0.57766,0.8524,0.000671044,0.000671044,0.000671044
22,4014.02,0.7191,0.63476,0.87489,0.99841,1,0.995,0.83159,0.62151,0.60672,0.85326,0.000649046,0.000649046,0.000649046
23,4185.71,0.71852,0.6307,0.87369,0.99769,0.99906,0.99483,0.82401,0.6191,0.55899,0.8426,0.000627048,0.000627048,0.000627048
24,4355.54,0.70295,0.62424,0.86194,0.99869,0.99968,0.995,0.84129,0.59451,0.53907,0.84233,0.000605051,0.000605051,0.000605051
25,4525.04,0.68846,0.59954,0.85658,0.99813,1,0.995,0.84434,0.58777,0.52756,0.83797,0.000583053,0.000583053,0.000583053
26,4693.64,0.67087,0.58148,0.86726,0.99884,1,0.995,0.84595,0.56839,0.51894,0.83635,0.000561055,0.000561055,0.000561055
27,4861.18,0.67585,0.57752,0.85343,0.99791,0.99914,0.99432,0.84578,0.58122,0.51066,0.83923,0.000539057,0.000539057,0.000539057
28,5029.72,0.71631,0.5921,0.86628,0.99903,1,0.995,0.83927,0.60281,0.53756,0.83636,0.000517059,0.000517059,0.000517059
29,5198.93,0.67823,0.57481,0.85195,0.99909,0.99979,0.995,0.84343,0.56723,0.49434,0.83393,0.000495062,0.000495062,0.000495062
30,5367.54,0.69709,0.57441,0.8629,0.99882,1,0.995,0.829,0.61186,0.53134,0.83677,0.000473064,0.000473064,0.000473064
31,5535.98,0.67789,0.568,0.8645,0.99875,0.99975,0.995,0.84751,0.57083,0.49078,0.8298,0.000451066,0.000451066,0.000451066
